	id	price	area	district	city	type	segment	condominium	iptu	rooms	box	url	date
107	172828	NA	57	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/172828/residencial-porto-alegre-auxiliadora-apartamento-principado-de-andorra-1-dormitorios-zona-norte	2019-07-29
108	171694	649000	70.74	Mont Serrat	Porto Alegre	Apartamento	Residencial	700	1074	2	1	http://www.foxterciaimobiliaria.com.br/imovel/171694/residencial-porto-alegre-mont-serrat-apartamento-condado-de-lugano-2-dormitorios-zona-norte	2019-07-29
109	115104	2750000	201.58	Auxiliadora	Porto Alegre	Apartamento	Residencial	1800	6310	3	4	http://www.foxterciaimobiliaria.com.br/imovel/115104/residencial-porto-alegre-auxiliadora-apartamento-arte-bela-vista-3-dormitorios-zona-norte	2019-07-29
110	172611	NA	101.72	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	2	2	http://www.foxterciaimobiliaria.com.br/imovel/172611/residencial-porto-alegre-auxiliadora-apartamento-palazzo-di-giorgio-2-dormitorios-zona-norte	2019-07-29
111	172573	NA	163.77	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/172573/residencial-porto-alegre-bela-vista-apartamento-edificio-florenca-3-dormitorios-zona-norte	2019-07-29
112	172150	NA	103.94	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/172150/residencial-porto-alegre-mont-serrat-apartamento-bela-vista-promenade-3-dormitorios-zona-norte	2019-07-29
113	172381	700000	109	Bela Vista	Porto Alegre	Apartamento	Residencial	412	2000	3	1	http://www.foxterciaimobiliaria.com.br/imovel/172381/residencial-porto-alegre-bela-vista-apartamento-edificio-guayaquil-3-dormitorios-zona-norte	2019-07-29
114	172379	NA	257.9	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/172379/residencial-porto-alegre-auxiliadora-apartamento-colina-do-poente-3-dormitorios-zona-norte	2019-07-29
115	169828	NA	93.91	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/169828/residencial-porto-alegre-auxiliadora-apartamento-edificio-residencial-vila-lorena-3-dormitorios-zona-norte	2019-07-29
116	159767	580000	104.97	Auxiliadora	Porto Alegre	Apartamento	Residencial	570	1537	3	1	http://www.foxterciaimobiliaria.com.br/imovel/159767/residencial-porto-alegre-auxiliadora-apartamento-edificio-dona-angela-3-dormitorios-zona-norte	2019-07-29
117	171782	1150000	180.83	Auxiliadora	Porto Alegre	Apartamento	Residencial	800	1634	2	3	http://www.foxterciaimobiliaria.com.br/imovel/171782/residencial-porto-alegre-auxiliadora-apartamento-fellini-2-dormitorios-zona-norte	2019-07-29
118	153333	712000	93.32	Auxiliadora	Porto Alegre	Apartamento	Residencial	600	1700	2	2	http://www.foxterciaimobiliaria.com.br/imovel/153333/residencial-porto-alegre-auxiliadora-apartamento-condominio-valencia-2-dormitorios-zona-norte	2019-07-29
119	171411	NA	239	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/171411/residencial-porto-alegre-bela-vista-apartamento-edificio-patmos-3-dormitorios-zona-norte	2019-07-29
120	170632	1399000	232.24	Bela Vista	Porto Alegre	Apartamento	Residencial	2000	5200	3	3	http://www.foxterciaimobiliaria.com.br/imovel/170632/residencial-porto-alegre-bela-vista-apartamento-solar-belvedere-3-dormitorios-zona-norte	2019-07-29
121	171600	1350000	199.66	Bela Vista	Porto Alegre	Apartamento	Residencial	1900	6000	4	3	http://www.foxterciaimobiliaria.com.br/imovel/171600/residencial-porto-alegre-bela-vista-apartamento-edificio-algarve-4-dormitorios-zona-norte	2019-07-29
122	171311	660000	79	Bela Vista	Porto Alegre	Apartamento	Residencial	690	1000	2	1	http://www.foxterciaimobiliaria.com.br/imovel/171311/residencial-porto-alegre-bela-vista-apartamento-the-life-2-dormitorios-zona-norte	2019-07-29
123	171844	NA	131.89	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/171844/residencial-porto-alegre-bela-vista-apartamento-maison-royale-3-dormitorios-zona-norte	2019-07-29
124	168633	NA	78	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	2	2	http://www.foxterciaimobiliaria.com.br/imovel/168633/residencial-porto-alegre-bela-vista-apartamento-fusion-2-dormitorios-zona-norte	2019-07-29
125	171746	NA	90.7	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	1	http://www.foxterciaimobiliaria.com.br/imovel/171746/residencial-porto-alegre-bela-vista-apartamento-conjunto-residencial-barao-de-uba-3-dormitorios-zona-norte	2019-07-29
126	171175	1450000	213.1	Mont Serrat	Porto Alegre	Apartamento	Residencial	1350	5000	3	3	http://www.foxterciaimobiliaria.com.br/imovel/171175/residencial-porto-alegre-mont-serrat-apartamento-condominio-saint-paul-3-dormitorios-zona-norte	2019-07-29
127	170988	NA	181	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/170988/residencial-porto-alegre-bela-vista-apartamento-gardel-45-3-dormitorios-zona-norte	2019-07-29
